T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 23 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.847826 	 acc_minus 	 0.833333 	 acc_0 	 0.978947 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 15 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.620000 	 acc_minus 	 0.575000 	 acc_0 	 0.999448 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 19 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.789474 	 acc_minus 	 0.660000 	 acc_0 	 0.993750 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.827778 	 acc_minus 	 0.800000 	 acc_0 	 0.997175 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 18 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.800000 	 acc_minus 	 0.675000 	 acc_0 	 0.994944 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.792857 	 acc_minus 	 0.866667 	 acc_0 	 0.996175 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 17 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.841176 	 acc_minus 	 0.750000 	 acc_0 	 0.992737 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 16 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.756250 	 acc_minus 	 0.700000 	 acc_0 	 0.998889 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 14 	 4 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.807143 	 acc_minus 	 0.850000 	 acc_0 	 1.000000 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 26 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.819231 	 acc_minus 	 0.771429 	 acc_0 	 0.982036 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 12 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.691667 	 acc_minus 	 0.566667 	 acc_0 	 1.000000 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 20 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.720000 	 acc_minus 	 0.560000 	 acc_0 	 0.993714 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 22 	 6 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.813636 	 acc_minus 	 0.683333 	 acc_0 	 0.994186 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 22 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.940909 	 acc_minus 	 0.980000 	 acc_0 	 0.982081 	
T 	 100 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 9 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.433333 	 acc_minus 	 0.100000 	 acc_0 	 0.985185 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 21 	 5 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.895238 	 acc_minus 	 0.760000 	 acc_0 	 0.989080 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 27 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.825926 	 acc_minus 	 0.814286 	 acc_0 	 0.980723 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 30 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.800000 	 acc_minus 	 0.814286 	 acc_0 	 0.969325 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 28 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.839286 	 acc_minus 	 0.842857 	 acc_0 	 0.972121 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 31 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.822581 	 acc_minus 	 0.775000 	 acc_0 	 0.972671 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 29 	 7 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.813793 	 acc_minus 	 0.928571 	 acc_0 	 0.968902 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 30 	 8 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.800000 	 acc_minus 	 0.812500 	 acc_0 	 0.970370 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 10 	 2 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.760000 	 acc_minus 	 0.950000 	 acc_0 	 0.996809 	
T 	 800 	 theta 	 0.020000 	 g 	 2.000000  	 d 	 11 	 3 	 q 	 0.060000 	 tau 	 5.017100 	 delta 	 0.500000 	 0.900000 	 acc_plus 	 0.663636 	 acc_minus 	 0.733333 	 acc_0 	 0.999462 	
